Date,Curency,Action,Ticker,Price,Qty,Note,,
2023-05-08,EUR,BOT,VNA,18.38916667,5.4379,Increase position,,
2023-04-17,USD,BOT,ARE,118.54,25,New position,,
2023-04-17,USD,BOT,GRPN,3.90461538,25.6107,Increase position,,
2023-04-24,USD,BOT,GRPN,3.84592593,26.0015,Increase position,,
2023-05-01,USD,BOT,GRPN,3.46068966,28.8959,Increase position,,
2023-05-08,USD,BOT,GRPN,3.49655172,28.5996,Increase position,,
2023-04-21,USD,BOT,IAUX,2.45,100,New position,,
2023-04-21,USD,BOT,MGDPF,0.636,1000,New position,,
2023-04-26,USD,BOT,MGDPF,0.6309,100,Increase position,,
2023-04-26,USD,BOT,MGDPF,0.631,1000,Increase position,,
2023-04-17,USD,BOT,RICK,1.3274,75.33,Increase position,,
2023-04-24,USD,BOT,RICK,1.3469,74.24,Increase position,,
2023-05-01,USD,BOT,RICK,1.3234,75.56,Increase position,,
2023-05-08,USD,BOT,RICK,1.3313,75.11,Increase position,,
2023-04-17,USD,BOT,STAG,3.0778,32.49,Increase position,,
2023-05-01,USD,BOT,STAG,2.9629,33.75,Increase position,,
